num_ranks,num_phases,epsilon,noise_model,mean_makespan,std_makespan,ci95_makespan,mean_idle_waste,std_idle_waste,mean_amplification,std_amplification,mean_idle_fraction,mean_scaling_efficiency
8,100,0.2000,NONE,110.321000,0.000000,0.000000,0.000000,0.000000,0.103210,0.000000,0.000000,0.906446
8,100,0.2000,GAUSSIAN,134.997733,1.331375,0.476426,225.048467,7.702211,0.349977,0.013314,0.208340,0.740823
8,100,0.2000,LOGNORMAL,137.768933,1.812671,0.648656,246.537867,10.839984,0.377689,0.018127,0.223606,0.725974
8,100,0.2000,BURSTY,143.318667,4.057167,1.451839,234.871667,27.954466,0.433187,0.040572,0.204346,0.698285
8,500,0.0100,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
8,500,0.0100,GAUSSIAN,546.854600,0.205836,0.073657,14.274333,1.507880,0.093709,0.000412,0.003263,0.914320
8,500,0.0100,LOGNORMAL,546.916133,0.233445,0.083537,14.710667,1.749522,0.093832,0.000467,0.003362,0.914217
8,500,0.0100,BURSTY,551.865067,0.351923,0.125934,16.903333,2.627379,0.103730,0.000704,0.003828,0.906019
8,500,0.0500,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
8,500,0.0500,GAUSSIAN,568.792700,0.848882,0.303768,276.432867,6.718872,0.137585,0.001698,0.060748,0.879057
8,500,0.0500,LOGNORMAL,569.793600,0.752161,0.269157,284.238667,5.928559,0.139587,0.001504,0.062354,0.877512
8,500,0.0500,BURSTY,586.823667,2.504088,0.896076,263.153600,17.417155,0.173647,0.005008,0.056041,0.852060
8,500,0.1000,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
8,500,0.1000,GAUSSIAN,603.601500,1.480528,0.529800,555.382133,10.429924,0.207203,0.002961,0.115011,0.828366
8,500,0.1000,LOGNORMAL,607.088000,1.535609,0.549511,583.270633,10.168788,0.214176,0.003071,0.120092,0.823609
8,500,0.1000,BURSTY,636.056933,5.694697,2.037821,603.164867,38.376185,0.272114,0.011389,0.118480,0.786154
8,500,0.2000,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
8,500,0.2000,GAUSSIAN,676.532700,2.765728,0.989703,1144.142667,19.531212,0.353065,0.005531,0.211389,0.739075
8,500,0.2000,LOGNORMAL,690.428867,3.664086,1.311176,1253.677900,24.905968,0.380858,0.007328,0.226959,0.724207
8,500,0.2000,BURSTY,720.706567,10.238706,3.663874,1206.292267,71.461296,0.441413,0.020477,0.209091,0.693899
16,10,0.0100,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
16,10,0.0100,GAUSSIAN,10.984633,0.005169,0.001850,0.143000,0.058848,0.098463,0.000517,0.000814,0.910363
16,10,0.0100,LOGNORMAL,10.984700,0.005134,0.001837,0.124667,0.038032,0.098470,0.000513,0.000709,0.910357
16,10,0.0100,BURSTY,11.175167,0.054673,0.019565,1.455667,0.887875,0.117517,0.005467,0.008122,0.894862
16,10,0.0500,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
16,10,0.0500,GAUSSIAN,11.552700,0.152034,0.054405,13.189267,2.118880,0.155270,0.015203,0.071227,0.865742
16,10,0.0500,LOGNORMAL,11.581500,0.170742,0.061099,13.705867,2.474018,0.158150,0.017074,0.073798,0.863625
16,10,0.0500,BURSTY,12.301500,0.457129,0.163582,18.189367,6.763735,0.230150,0.045713,0.091315,0.813989
16,10,0.1000,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
16,10,0.1000,GAUSSIAN,12.448167,0.162874,0.058284,27.560967,2.355315,0.244817,0.016287,0.138263,0.803464
16,10,0.1000,LOGNORMAL,12.548300,0.225363,0.080645,29.191100,3.255416,0.254830,0.022536,0.145165,0.797173
16,10,0.1000,BURSTY,14.035367,0.864032,0.309190,43.982267,12.831493,0.403537,0.086403,0.193184,0.715103
16,10,0.2000,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
16,10,0.2000,GAUSSIAN,14.359267,0.535623,0.191670,57.730467,7.196623,0.435927,0.053562,0.250568,0.697334
16,10,0.2000,LOGNORMAL,14.907233,0.746041,0.266967,66.591867,10.019924,0.490723,0.074604,0.277939,0.672388
16,10,0.2000,BURSTY,17.039700,1.994185,0.713610,88.894300,29.033373,0.703970,0.199418,0.318036,0.594920
16,50,0.0100,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
16,50,0.0100,GAUSSIAN,54.630933,0.031431,0.011248,1.800333,0.776466,0.092619,0.000629,0.002060,0.915233
16,50,0.0100,LOGNORMAL,54.632067,0.031685,0.011338,1.800333,0.753559,0.092641,0.000634,0.002060,0.915214
16,50,0.0100,BURSTY,55.422267,0.110122,0.039407,5.107667,1.492863,0.108445,0.002202,0.005757,0.902168
16,50,0.0500,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
16,50,0.0500,GAUSSIAN,57.536967,0.267152,0.095599,68.528433,3.939742,0.150739,0.005343,0.074423,0.869025
16,50,0.0500,LOGNORMAL,57.695467,0.291211,0.104209,71.152100,4.616605,0.153909,0.005824,0.077056,0.866641
16,50,0.0500,BURSTY,61.427033,0.873697,0.312648,96.500133,13.119906,0.228541,0.017474,0.098022,0.814134
16,50,0.1000,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
16,50,0.1000,GAUSSIAN,62.070967,0.565400,0.202326,140.053567,7.611234,0.241419,0.011308,0.140970,0.805594
16,50,0.1000,LOGNORMAL,62.704800,0.573915,0.205373,150.191033,7.592499,0.254096,0.011478,0.149648,0.797451
16,50,0.1000,BURSTY,68.999000,1.669646,0.597475,208.740233,25.605056,0.379980,0.033393,0.188646,0.725058
16,50,0.2000,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
16,50,0.2000,GAUSSIAN,71.089600,0.658684,0.235707,284.353433,10.841213,0.421792,0.013174,0.249945,0.703397
